day,repetition code,short,long,,
13,"3_times, 4_times",A meaningless world engenders fear.,"A meaningless world engenders fear.

I am looking at a meaningless world.

Repeat this statement to yourself as you look about. Then close your eyes, and conclude with:

A meaningless world engenders fear because I think I am in competition with God.",,
14,"3_times, 4_times",God did not create a meaningless world.,"God did not create that war, and so it is not real. 
God did not create that airplane crash, and so it is not real. 
God did not create that disaster [specify], and so it is not real.

Conclude the practice periods by repeating today's idea:

God did not create a meaningless world.",,
15,"3_times, 4_times",My thoughts are images that I have made.,"My thoughts are images that I have made.

This ___ is an image that I have made.
That ___ is an image that I have made.",,
16,"4_times, 5_times",I have no neutral thoughts,"I have no neutral thoughts.

This thought about ________ is not a neutral thought.
That thought about ________ is not a neutral thought.",,
17,"3_times, 4_times",I see no neutral things.,"I see no neutral things because I have no neutral thoughts.

I do not see a neutral ___, because my thoughts about ___ are not neutral.

For example, I do not see a neutral wall, because my thoughts about walls are not neutral. 

I do not see a neutral body, because my thoughts about bodies are not neutral.",,
18,"3_times, 4_times",I am not alone in experiencing the effects of my seeing.,"I am not alone in experiencing the effects of how I see _________.

I am not alone in experiencing the effects of my seeing.",,
19,"3_times, 4_times",I am not alone in experiencing the effects of my thoughts.,I am not alone in experiencing the effects of this thought about _______.,,
20,every_30_minutes,I am determined to see.,I am determined to see.,,
21,5_times,I am determined to see things differently.,"I am determined to see things differently

I am determined to see ________ [name of person] differently.

I am determined to see ________ [specify the situation] differently.

I am determined to see ________ [specify the attribute] in 
________ [name of person] differently.",,
22,5_times,What I see is a form of vengeance.,"I see only the perishable. 
I see nothing that will last. 
What I see is not real.
What I see is a form of vengeance.

Is this the world I really want to see?",,
23,5_times,I can escape from the world I see by giving up attack thoughts.,"I can escape from the world I see by giving up attack thoughts. 

I can escape from the world I see by giving up attack thoughts about ______.",,
24,5_times,I do not perceive my own best interests.,"I do not perceive my own best interests.

In the situation involving ______, I would like ______ 
to happen, and ______ to happen,

and so on. 

I do not perceive my own best interests in this situation.",,
25,6_times,I do not know what anything is for.,"I do not know what anything is for.

I do not know what this chair is for.
I do not know what this pencil is for. 
I do not know what this hand is for.",,
26,6_times,My attack thoughts are attacking my invulnerability .,"
My attack thoughts are attacking my invulnerability.

I am concerned about ______.

I am afraid ______ will happen.

After you have named each outcome of which you are afraid, tell yourself:

That thought is an attack upon myself.

My attack thoughts are attacking my invulnerability.",,
27,every_30_minutes,Above all else I want to see.,"Above all else I want to see. 

If you become uneasy about the lack of reservation involved, add:

Vision has no cost to anyone.

If fear of loss still persists, add further:

It can only bless.",,
28,6_times,Above all else I want to see things differently.,"Above all else I want to see things differently.  

Above all else I want to see this ______ differently.",,
29,every_hour,God is in everything I see.,,"God is in everything I see.

God is in this coat hanger. 
God is in this magazine. 
God is in this finger. 
God is in this lamp. 
God is in that body. 
God is in that door. 
God is in that waste basket.",
30,,God is in everything I see because God is in my mind.,God is in everything I see because God is in my mind.,,
31,2_times,I am not the victim of the world I see.,I am not the victim of the world I see.,,
32,2_times,I have invented the world I see.,I have invented the world I see.,,
33,2_times,There is another way of looking at the world.,There is another way of looking at the world.,,
34,3_times,I could see peace instead of this.,"I could see peace in this situation instead of what I now see in it.

I can replace my feelings of depression, anxiety or worry [or my thoughts about this situation, personality or event] with peace.",,
35,3_times,My mind is part of God's. I am very holy.,"My mind is part of God's. I am very holy.

I see myself as imposed on. 
I see myself as depressed. 
I see myself as failing. 
I see myself as endangered. 
I see myself as helpless. 
I see myself as victorious. 
I see myself as losing out. 
I see myself as charitable. 
I see myself as virtuous.

After you have named each one, add:

But my mind is part of God's. I am very holy.",,
36,4_times,My holiness envelops everything I see.,"Shorter Practice Periods:

My holiness envelops everything I see.

Longer Practice Periods:

My holiness envelops that rug
My holiness envelops that wall.
My holiness envelops these fingers.
My holiness envelops that chair.
My holiness envelops that body.
My holiness envelops this pen.",,
37,4_times,My holiness blesses the world.,"Shorter Practice Periods:

My holiness blesses the world.

Longer Practice Periods:

My holiness blesses this chair 
My holiness blesses that window 
My holiness blesses this body.

Then close your eyes and apply the idea to any person who occurs to you, using his name and saying

My holiness blesses you, [name].",,
38,4_times,There is nothing my holiness cannot do.,"Shorter Practice Periods:

There is nothing my holiness cannot do.

Longer Practice Periods:

In the situation involving _____ in which I see myself, there is nothing that my holiness cannot do.
In the situation involving _____ in which _____ sees himself, there is nothing my holiness cannot do.

There is nothing my holiness cannot do because the power of God lies in it.",,
39,"every_15_minutes, every_20_minutes",My holiness is my salvation.,"Shorter Practice:

My holiness is my salvation.
If guilt is hell, what is it's opposite? 
My holiness is my salvation from this.

Longer Practice:

My unloving thoughts about _____ are keeping me in hell. 
My holiness is my salvation.


If guilt is hell, what is its opposite?
",,
40,every_10_minutes,I am blessed as a Son of God..,"I am blessed as a Son of God. 
I am happy, peaceful, loving and contented.

Another might take this form:

I am blessed as a Son of God. 
I am calm, quiet, assured and confident.

If only a brief period is available, merely telling yourself that you are blessed as a Son of God will do.",,
41,,God goes with me wherever I go.,,God goes with me wherever I go.,
42,,God is my strength. Vision is His gift.,"God is my strength. Vision is His gift. 

Vision must be possible. God gives truly,
or:
God's gifts to me must be mine, because He gave them to me.",,
43,,God is my Source. I cannot see apart from Him.,"God is my Source. I cannot see apart from Him.
God is my Source. I cannot see this desk apart from Him.
God is my Source. I cannot see that picture apart from Him.
God is my Source. I cannot see apart from Him.

I see through the eyes of forgiveness. 
I see the world as blessed. 
The world can show me myself. 
I see my own thoughts, which are like God's

",,
44,,God is the light in which I see.,God is the light in which I see.,,
45,,God is the Mind with which I think.,"God is the Mind with which I think.

My real thoughts are in my mind. I would like to find them.",,
46,3_times,God is the Love in which I forgive.,"Shorter Practice:

God is the Love in which I forgive.
God is the Love in which I forgive you.

Longer Practice:

God is the Love in which I forgive you, [name].
God is the Love in which I forgive myself………",,
47,4_times,God is the strength in which I trust.,God is the strength in which I trust.,,
48,,There is nothing to fear.,There is nothing to fear.,,
49,4_times,God's Voice speaks to me all through the day.,God's Voice speaks to me all through the day.,,
50,2_times,I am sustained by the love of God.,I am sustained by the love of God.,,
51,2_times,"(1) Nothing I see means anything.
(2) I have given what I see all the meaning it has for me.
(3) I do not understand anything I see.
(4) These thoughts do not mean anything.
(5) I am never upset for the reason I think.","(1) Nothing I see means anything.
(2) I have given what I see all the meaning it has for me.
(3) I do not understand anything I see.
(4) These thoughts do not mean anything.
(5) I am never upset for the reason I think.",,
52,2_times,"(6) I am upset because I see what is not there.
(7) I see only the past.
(8) My mind is preoccupied with past thoughts.
(9) I see nothing as it is now.
(10) My thoughts do not mean anything.","(6) I am upset because I see what is not there.
(7) I see only the past.
(8) My mind is preoccupied with past thoughts.
(9) I see nothing as it is now.
(10) My thoughts do not mean anything.",,
53,2_times,"(11) My meaningless thoughts are showing me a meaningless world.
(12) I am upset because I see a meaningless world.
(13) A meaningless world engenders fear.
(14) God did not create a meaningless world.
(15) My thoughts are images that I have made.","(11) My meaningless thoughts are showing me a meaningless world.
(12) I am upset because I see a meaningless world.
(13) A meaningless world engenders fear.
(14) God did not create a meaningless world.
(15) My thoughts are images that I have made.",,
54,2_times,"(16) I have no neutral thoughts.
(17) I see no neutral things.
(18) I am not alone in experiencing the effects of my seeing.
(19) I am not alone in experiencing the effects of my thoughts.
(20) I am determined to see.","(16) I have no neutral thoughts.
(17) I see no neutral things.
(18) I am not alone in experiencing the effects of my seeing.
(19) I am not alone in experiencing the effects of my thoughts.
(20) I am determined to see.",,
55,2_times,"(21) I am determined to see things differently.
(22) What I see is a form of vengeance.
(23) I can escape from this world by giving up attack thoughts.
(24) I do not perceive my own best interests.
(25) I do not know what anything is for.","(21) I am determined to see things differently.
(22) What I see is a form of vengeance.
(23) I can escape from this world by giving up attack thoughts.
(24) I do not perceive my own best interests.
(25) I do not know what anything is for.",,
56,2_times,"(26) My attack thoughts are attacking my invulnerability.
(27) Above all else I want to see.
(28) Above all else I want to see differently.
(29) God is in everything I see.
(30) God is in everything I see because God is in my mind.","(26) My attack thoughts are attacking my invulnerability.
(27) Above all else I want to see.
(28) Above all else I want to see differently.
(29) God is in everything I see.
(30) God is in everything I see because God is in my mind.",,
57,2_times,"(31) I am not the victim of the world I see.
(32) I have invented the world I see.
(33) There is another way of looking at the world.
(34) I could see peace instead of this.
(35) My mind is part of God's. I am very holy.","(31) I am not the victim of the world I see.
(32) I have invented the world I see.
(33) There is another way of looking at the world.
(34) I could see peace instead of this.
(35) My mind is part of God's. I am very holy.",,
58,2_times,"(36) My holiness envelops everything I see.
(37) My holiness blesses the world.
(38) There is nothing my holiness cannot do.
(39) My holiness is my salvation.
(40) I am blessed as a Son of God.","(36) My holiness envelops everything I see.
(37) My holiness blesses the world.
(38) There is nothing my holiness cannot do.
(39) My holiness is my salvation.
(40) I am blessed as a Son of God.",,
59,2_times,"(41) God goes with me wherever I go.
(42) God is my strength. Vision is His gift.
(43) God is my Source. I cannot see apart from Him.
(44) God is the light in which I see.
(45) God is the Mind with which I think.","(41) God goes with me wherever I go.
(42) God is my strength. Vision is His gift.
(43) God is my Source. I cannot see apart from Him.
(44) God is the light in which I see.
(45) God is the Mind with which I think.",,
60,2_times,"(46) God is the Love in which I forgive.
(47) God is the strength in which I trust.
(48) There is nothing to fear.
(49) God's Voice speaks to me all through the day.
(50) I am sustained by the Love of God.","(46) God is the Love in which I forgive.
(47) God is the strength in which I trust.
(48) There is nothing to fear.
(49) God's Voice speaks to me all through the day.
(50) I am sustained by the Love of God.",,
61,2_times,I am the light of the world.,I am the light of the world. That is my only function. That is why I am here.,,
62,2_times,Forgiveness is my function as the light of the world.,"Forgiveness is my function as the light of the world. I would fulfill my function that I may be happy.

Should your attention wander, repeat the idea and add:

I would remember this because I want to be happy.",,
63,2_times,The light of the world brings peace to every mind through my forgiveness.,The light of the world brings peace to every mind through my forgiveness. I am the means God has appointed for the salvation of the world.,,
64,1_time,Let me not forget my function.,"Let me not forget my function. Let me not try to substitute mine for God's. Let me forgive and be happy.

This is the world it is my function to save.",,
65,every_hour,My only function is the one God gave me. I want no other and I have no other.,"My only function is the one God gave me.

Watch thoughts ……… 

This thought reflects a goal that is preventing me from accepting my only function…………

On this clean slate let my true function be written for me.",,
66,every_30_minutes,"My happiness and function are one, because God has given me both.","God gives me only happiness.
He has given my function to me.
Therefore my function must be happiness.",,
67,,Love created me like itself.,"Holiness created me holy.
Kindness created me kind. 
Helpfulness created me helpful. 
Perfection created me perfect.",,
68,,"For thoughts of grievance:  Love holds no grievances. Let me not betray my Self.

Love holds no grievances. I would wake to my Self by laying all my grievances aside and wakening in Him.","I would see you as my friend, that I may remember you are part of me and come to know myself.

Love holds no grievances. When I let all my grievances go I will know I am perfectly safe.",,
69,,My grievances hide the light of the world in me.,"My grievances hide the light of the world in me. I cannot see what I have hidden. Yet I want to let it be revealed to me, for my salvation and the salvation of the world.

If you are tempted to hold anything against anyone today:

If I hold this grievance the light of the world will be hidden from me.",,
70,,My salvation comes from me. Nothing outside of me can hold me back. Within me is the world's salvation and my own.,"My salvation comes from me. It cannot come from anywhere else.

Review some of the external places you have looked for salvation ………",,
71,"every_8_minutes, every_10_minutes",Holding grievances is the opposite of God's plan for salvation. And only His plan will work.,"What would You have me do?
Where would You have me go?
What would You have me say, and to whom?",,
72,"every_hour, every_30_minutes","Holding grievances is an attack on God's plan for salvation. Let me accept it instead. What is salvation, Father?","What is salvation, Father? I do not know. Tell me, that I may understand.",,
73,every_20_minutes,I will there be light. Darkness is not my will.,I will there be light. Let me behold the light that reflects God's Will and mine.,,
74,every_15_minutes,There is no will but God's. I seek His peace today.,"There is no will but God's. I cannot be in conflict.

Add related thoughts, such as:

I am at peace.
Nothing can disturb me. My will is God's.
My will and God's are one. 
God wills peace for His Son.

For conflict thoughts that may cross your mind:

There is no will but God's. These conflict thoughts are meaningless.

For particularly difficult one's tell yourself:

There is no will but God's. I share it with Him. My conflicts about _____ cannot be real.",,
75,every_30_minutes,The light has come. I have forgiven the world.,"Give thanks, etc. Then say:

The light has come. I have forgiven the world.

To anyone who seems to pull you back into darkness:

The light has come. I have forgiven you.",,
76,"every_15_minutes, every_12_minutes",I am under no laws but God's.,I am under no laws but God's.,,
77,,I am entitled to miracles.,"I am entitled to miracles.

Should you be tempted:

I will not trade miracles for grievances. I want only what belongs to me. God has established miracles as my right.",,
78,,Let miracles replace all grievances.,"Let me behold my savior in this one You have appointed as the one for me to ask to lead me to the holy light in which he stands, that I may join with him.",,
79,,Let me recognize the problem so it can be solved.,Let me recognize the problem so it can be solved.,,
80,,Let me recognize my problems have been solved.,Let me recognize my problems have been solved.,,
81,,"(61) I am the light of the world.
(62) Forgiveness is my function as the light of the world.","Some specific forms for applying (61) when special difficulties seem to arise might be:
Let me not obscure the light of the world in me. 
Let the light of the world shine through this appearance. 
This shadow will vanish before the light.

Specific forms for using (62) might include:
Let this help me learn what forgiveness means.
Let me not separate my function from my will.
I will not use this for an alien purpose.",,
82,,"(63) The light of the world brings peace to every mind through my forgiveness.
(64) Let me not forget my function.","Suggestions for specific forms for applying (63) are:
Let peace extend from my mind to yours, [name].
I share the light of the world with you, [name].
Through my forgiveness I can see this as it is.

Suitable specific forms for (64) include:
Let me not use this to hide my function from me.
I would use this as an opportunity to fulfill my function.
This may threaten my ego, but cannot change my function in any way",,
83,,"(65) My only function is the one God gave me.
(66) My happiness and my function are one.","More specific applications of (65) might take these forms:
My perception of this does not change my function.
This does not give me a function other than the one God gave me. 
Let me not use this to justify a function God did not give me.

Some useful forms for specific applications of (66) are:
This cannot separate my happiness from my function.
The oneness of my happiness and my function remains wholly unaffected by this.
Nothing, including this, can justify the illusion of happiness apart from my function",,
84,,"(67) Love created me like itself.
(68) Love holds no grievances.","You might find these specific forms helpful in applying (67):
Let me not see an illusion of myself in this.
As I look on this, let me remember my Creator.
My Creator did not create this as I see it.

These specific forms for applying (68) would be helpful:
This is no justification for denying my Self.
I will not use this to attack love.
Let this not tempt me to attack myself.",,
85,,"(69) My grievances hide the light of the world in me.
(70) My salvation comes from me.","Specific applications for (69) might be made in these forms:
Let me not use this as a block to sight.
The light of the world will shine all this away. 
I have no need for this. I want to see.

These forms of (70) are suitable for more specific applications:
Let this not tempt me to look away from me for my salvation.
I will not let this interfere with my awareness of the Source of my salvation.
This has no power to remove salvation from me.",,
86,,"(71) Only God's plan for salvation will work.
(72) Holding grievances is an attack on God's plan for salvation.","These are some suggested forms for applying (71) specifically:
God's plan for salvation will save me from my perception of this.
This is no exception in God's plan for my salvation. 
Let me perceive this only in the light of God's plan for salvation.

Specific applications for (72) might be in these forms:
I am choosing between misperception and salvation as I look on this.
If I see grounds for grievances in this, I will not see the grounds for my salvation.
This calls for salvation, not attack.",,
87,,"(73) I will there be light.
(74) There is no will but God's","These forms of (73) would be helpful for specific applications:
This cannot hide the light I will to see. 
You stand with me in light, [name]. 
In the light this will look different.

These are some useful forms of (74) for specific applications:
Let me perceive this in accordance with the Will of God.
It is God's Will you are His Son, [name], and mine as well. 
This is part of God's Will for me, however I may see it.",,
88,,"(75) The light has come.
(76) I am under no laws but God's.","These would prove useful forms for specific applications of (75):
This cannot show me darkness, for the light has come.
The light in you is all that I would see, [name]. 
I would see in this only what is there.

For specific forms in applying (76), these would be useful:
My perception of this shows me I believe in laws that do not exist.
I see only the laws of God at work in this. 
Let me allow God's laws to work in this, and not my own.",,
89,,"(77) I am entitled to miracles.
(78) Let miracles replace all grievances","You might use these suggestions for specific applications of (77):
Behind this is a miracle to which I am entitled. 
Let me not hold a grievance against you, [name], 
but offer you the miracle that belongs to you instead.
Seen truly, this offers me a miracle.

Useful specific forms for applying (78) would be:
I would not hold this grievance apart from my salvation.
Let our grievances be replaced by miracles, [name]. 
Beyond this is the miracle by which all my grievances are replaced.",,
90,,"(79) Let me recognize the problem so it can be solved.
(80) Let me recognize my problems have been solved.","Specific applications of (79) might be in these forms:
This presents a problem to me which I would have resolved. 
The miracle behind this grievance will resolve it for me. 
The answer to this problem is the miracle that it conceals.

These forms of (80) will be useful for specific applications:
I need not wait for this to be resolved.
The answer to this problem is already given me, if I will accept it. 
Time cannot separate this problem from its solution.",,
91,"every_10_minutes, every_12_minutes",Miracles are seen in light. Let me not close my eyes because of this.,"Miracles are seen in light.
The body's eyes do not perceive the light.
 But I am not a body. What am I?",,
92,2_times,"Miracles are seen in light, and light and strength are one.","Miracles are seen in light, and light and strength are one.",,
93,every_hour,Light and joy and peace abide in me.,"Light and joy and peace abide in me.
My sinlessness is guaranteed by God.

Light and joy and peace abide in me.
My sinlessness is guaranteed by God.

For disturbing situations or should you become angry:
Light and joy and peace abide in you.
Your sinlessness is guaranteed by God.",,
94,every_hour,I am as God created me.,"I am as God created me.
I am His Son eternally.

I am as God created me.
I am His Son eternally.

Respond to anyone who seems to irritate you with:
You are as God created you.
You are His Son eternally.",,
95,every_hour,"I am one Self, united with my Creator.","I am one Self, united with my Creator, at one with every aspect of creation, and limitless in power and in peace.

Close eyes:
I am one Self.

To everyone you meet:
You are one Self with me, united with our Creator in this Self. 
I honor you because of What I am, and What He is, 
Who loves us both as One.",,
96,every_hour,Salvation comes from my one Self.,Salvation comes from my one Self. Its Thoughts are mine to use.,,
97,every_hour,I am spirit.,"Spirit am I, a holy Son of God, free of all limits, safe and healed and whole, free to forgive, and free to save the world.",,
98,every_hour,I will accept my part in God's plan for salvation.,I will accept my part in God's plan for salvation.,,
99,every_hour,Salvation is my only function here.,"Salvation is my only function here.
Salvation and forgiveness are the same.

And remind yourself of this between the times you give five minutes:
Salvation is my only function here.

 If you are tempted to believe doubt and fear:
Salvation is my only function here.God still is Love, and this is not His Will.",,
100,every_hour,My part is essential to God's plan for salvation.,My part is essential to God's plan for salvation.,,
101,every_hour,God's Will for me is perfect happiness.,"God's Will for me is perfect happiness.
There is no sin; it has no consequence.

Tell yourself as often as you can:
God's Will for me is perfect happiness.
This is the truth, because there is no sin.",,
102,every_hour,I share God's Will for happiness for me.,"I share God's Will for happiness for me, and I accept it as my function now.

Pause frequently today, to tell yourself that you have now accepted happiness as your one function",,
103,every_hour,"God, being Love, is also happiness.","God, being Love, is also happiness.
To fear Him is to be afraid of joy.

Frequently throughout the day:
God, being Love, is also happiness.
And it is happiness I seek today.
I cannot fail, because I seek the truth.",,
104,every_hour,I seek but what belongs to me in truth.,"I seek but what belongs to me in truth, 
And joy and peace are my inheritance.

As often as you can:
I seek but what belongs to me in truth.
God's gifts of joy and peace are all I want.",,
105,every_hour,God's peace and joy are mine.,"My brother, peace and joy I offer you,That I may have God's peace and joy as mine.",,
106,every_hour,Let me be still and listen to the truth.,"I will be still and listen to the truth.
What does it mean to give and to receive?

And as often as is possible:
Let me be still and listen to the truth.
I am the messenger of God today,
My voice is His, to give what I receive.",,
107,every_hour,Truth will correct all errors in my mind.,"Truth will correct all errors in my mind,And I will rest in Him Who is my Self.",,
108,every_hour,To give and to receive are one in truth.,"To give and to receive are one in truth.I will receive what I am giving now.

To everyone I offer _____.  For example:  To everyone I offer quietness.
To everyone I offer peace of mind.
To everyone I offer gentleness.",,
109,every_hour,I rest in God.,I rest in God.,,
110,every_hour,I am as God created me.,"I am as God created me. His Son can suffer nothing.  And I am His Son.

And as often as possible:
I am as God created me.",,
111,every_30_minutes,"On the hour
Miracles are seen in light

On the half hour:
Miracles are seen in light, and light and strength are one.","On the hour
Miracles are seen in light

On the half hour:
Miracles are seen in light, and light and strength are one.",,
112,every_30_minutes,"On the hour:
Light and joy and peace abide in me.

On the half hour:
I am as God created me.","On the hour:
Light and joy and peace abide in me.

On the half hour:
I am as God created me.",,
113,every_30_minutes,"On the hour:
I am one Self, united with my Creator.

On the half hour:
Salvation comes from my one Self.","On the hour:
I am one Self, united with my Creator.

On the half hour:
Salvation comes from my one Self.",,
114,every_30_minutes,"On the hour:
I am spirit.

On the half hour:
I will accept my part in God's plan for salvation.","On the hour:
I am spirit.

On the half hour:
I will accept my part in God's plan for salvation.",,
115,every_30_minutes,"On the hour:
Salvation is my only function here.

On the half hour:
My part is essential to God's plan for salvation.","On the hour:
Salvation is my only function here.

On the half hour:
My part is essential to God's plan for salvation.",,
116,every_30_minutes,"On the hour:
God's Will for me is perfect happiness.

On the half hour:
I share God's Will for happiness for me.","On the hour:
God's Will for me is perfect happiness.

On the half hour:
I share God's Will for happiness for me.",,
117,every_30_minutes,"On the hour:
God, being Love, is also happiness.

On the half hour:
I seek but what belongs to me in truth.","On the hour:
God, being Love, is also happiness.

On the half hour:
I seek but what belongs to me in truth.",,
118,every_30_minutes,"On the hour:
God's peace and joy are mine.

On the half hour:
Let me be still and listen to the truth.","On the hour:
God's peace and joy are mine.

On the half hour:
Let me be still and listen to the truth.",,
119,every_30_minutes,"On the hour:
Truth will correct all errors in my mind.

On the half hour:
To give and to receive are one in truth.","On the hour:
Truth will correct all errors in my mind.

On the half hour:
To give and to receive are one in truth.",,
120,every_30_minutes,"On the hour:
I rest in God.

On the half hour:
I am as God created me","On the hour:
I rest in God.

On the half hour:
I am as God created me",,
121,every_hour,Forgiveness is the key to happiness.,"Forgiveness is the key to happiness. I will awaken from the dream that I am mortal, fallible and full of sin, and know I am the perfect Son of God.",,
122,every_15_minutes,Forgiveness offers everything I want.,"Forgiveness offers everything I want. 
Today I have accepted this as true.
Today I have received the gifts of God.",,
123,every_hour,I thank my Father for His gifts to me.,I thank my Father for His gifts to me.,,
124,,Let me remember I am one with God.,"Let me remember I am one with God, at one with my brothers and my Self, in everlasting holiness and peace.",,
125,3_times,In quiet I receive God's Word today.,In quiet I receive God's Word today.,,
126,2_times,All that I give is given to myself.,All that I give is given to myself. The Help I need to learn that this is true is with me now. And I will trust in Him.,,
127,2_times,There is no love but God's.,"I bless you, brother, with the Love of God, which I would share with you. For I would learn the joyous lesson that there is no love but God's and yours and mine and everyone's.",,
128,3_times,The world I see holds nothing that I want.,"The world I see holds nothing that I want.

When you think you see some value:
This will not tempt me to delay myself. The world I see holds nothing that I want.",,
129,every_hour,Beyond this world there is a world I want.,The world I see holds nothing that I want. Beyond this world there is a world I want.,,
130,6_times,It is impossible to see two worlds.,"It is impossible to see two worlds. Let me accept the strength God offers me and see no value in this world, that I may find my freedom and deliverance.

Dismiss temptation whenever it arises by saying:
It is impossible to see two worlds. I seek my freedom and deliverance, and this is not a part of what I want.",,
131,3_times,No one can fail who seeks to reach the truth.,"I ask to see a different world, and think a different kind of thought from those I made. The world I seek I did not make alone, the thoughts I want to think are not my own.

And remember often:
Today I seek and find all that I want. 
My single purpose offers it to me. 
No one can fail who seeks to reach the truth.",,
132,,I loose the world from all I thought it was.,"I loose the world from all I thought it was, and choose my own reality instead.

Say the above throughout the day and whenever tempted.",,
133,,I will not value what is valueless .,"I will not value what is valueless, for what is valuable belongs to me.",,
134,,Let me perceive forgiveness as it is.,"Throughout the day and when you forget forgivenesses meaning:

Let me perceive forgiveness as it is. Would I accuse myself of doing this? I will not lay this chain upon myself.

In everything you do remember this:
No one is crucified alone, and yet no one can enter Heaven by himself.",,
135,,If I defend myself I am attacked.,"If I defend myself I am attacked.  But in defenselessness I will be strong, and I will learn what my defenses hide. 

 As foolish little things appear ……… 

This is my Eastertime. And I would keep it holy. I will not defend myself, because the Son of God needs no defense against the truth of his reality.",,
136,,Sickness is a defense against the truth.,"I have forgotten what I really am, for I mistook my body for myself. Sickness is a defense against the truth. But I am not a body. And my mind cannot attack. So I can not be sick.",,
137,every_hour,When I am healed I am not healed alone.,"When I am healed I am not healed alone. And I would bless my brothers, for I would be healed with them, as they are healed with me.",,
138,every_hour,Heaven is the decision I must make.,"Heaven is the decision I must make. I make it now, and will not change my mind, because it is the only thing I want.",,
139,every_hour,I will accept Atonement for myself.,"I will accept Atonement for myself, For I remain as God created me.",,
140,every_hour,Only salvation can be said to cure.,"Only salvation can be said to cure. Speak to us, Father, that we may be healed.",,
141,every_hour,"My mind holds only what I think with God.

(121) Forgiveness is the key to happiness.
(122) Forgiveness offers everything I want.","My mind holds only what I think with God.

(121) Forgiveness is the key to happiness.
(122) Forgiveness offers everything I want.",,
142,every_hour,"My mind holds only what I think with God.

(123) I thank my Father for His gifts to me. 
(124) Let me remember I am one with God.","My mind holds only what I think with God.

(123) I thank my Father for His gifts to me. 
(124) Let me remember I am one with God.",,
143,every_hour,"My mind holds only what I think with God.

(125) In quiet I receive God's Word today. 
(126) All that I give is given to myself.","My mind holds only what I think with God.

(125) In quiet I receive God's Word today. 
(126) All that I give is given to myself.",,
144,every_hour,"My mind holds only what I think with God.

(127) There is no love but God's. 
(128) The world I see holds nothing that I want.","My mind holds only what I think with God.

(127) There is no love but God's. 
(128) The world I see holds nothing that I want.",,
145,every_hour,"My mind holds only what I think with God.

(129) Beyond this world there is a world I want.	
(130) It is impossible to see two worlds.","My mind holds only what I think with God.

(129) Beyond this world there is a world I want.	
(130) It is impossible to see two worlds.",,
146,every_hour,"My mind holds only what I think with God.

(131) No one can fail who seeks to reach the truth. 
(132) I loose the world from all I thought it was.","My mind holds only what I think with God.

(131) No one can fail who seeks to reach the truth. 
(132) I loose the world from all I thought it was.",,
147,every_hour,"My mind holds only what I think with God.

(133) I will not value what is valueless.	
(134) Let me perceive forgiveness as it is.","My mind holds only what I think with God.

(133) I will not value what is valueless.	
(134) Let me perceive forgiveness as it is.",,
148,every_hour,"My mind holds only what I think with God.

(135) If I defend myself I am attacked.	
(136) Sickness is a defense against the truth.","My mind holds only what I think with God.

(135) If I defend myself I am attacked.	
(136) Sickness is a defense against the truth.",,
149,every_hour,"My mind holds only what I think with God.

(137) When I am healed I am not healed alone.	
(138) Heaven is the decision I must make.","My mind holds only what I think with God.

(137) When I am healed I am not healed alone.	
(138) Heaven is the decision I must make.",,
